Music_id,Music_title,Music_artist
3452213,1월부터 6월까지 (Feat. 윤종신),015B
3620493,안아줘,정준일
3964483,힐링이 필요해,로이킴
8071102,이 사랑,다비치
30120986,이 바보야,정승환
31002496,Strawberries & Cigarettes,Troye Sivan
30190630,첫눈처럼 너에게 가겠다,에일리
7928705,YOUTH,Troye Sivan
30948698,꽃 길,BIGBANG
31164090,동화,멜로망스
30884950,그때 헤어지면 돼,로이킴
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
30380953,There`s Nothing Holdin` Me Back,Shawn Mendes
8252569,사랑은 늘 도망가 (로맨틱 흑기사),로이킴
30755375,그날처럼,장덕철
5760115,IF YOU,BIGBANG
30699142,지나오다,닐로 (Nilo)
8203900,너였다면,정승환
30486509,좋니,윤종신
2654264,그대를 사랑하는 10가지 이유,이석훈
30779236,Never Be the Same,Camila Cabello
8037848,Up All Night,Charlie Puth
30550293,사랑하지 않은 것처럼,버즈
4281881,그래도 나 사랑하지,스웨덴세탁소
3835596,Lucky Strike,Maroon 5
30970444,소나기 (Feat. 10cm),용준형
30877002,눈사람,정승환
30969769,In My Blood,Shawn Mendes
4374667,Happy (Gru`s Theme From Despicable Me 2),Pharrell Williams
30745316,To.,소란 (SORAN)
4743560,Lost Stars,Adam Levine (Maroon 5)
30244931,봄날,방탄소년단
4342072,How Long Will I Love You,Ellie Goulding
8194007,오늘,오왠 (O.WHEN)
5459268,Uptown Funk (Feat. Bruno Mars),Mark Ronson
30611679,pet,10cm
30855818,The Middle,"Zedd, Grey, Maren Morris"
30205712,Despacito (Feat. Daddy Yankee),Luis Fonsi
1331699,Sunday Morning,Maroon 5
30310655,오래전 그날,로이킴
8034161,Cheap Thrills,Sia
30721801,My Way,이수 (엠씨 더 맥스)
30037874,Don`t Wanna Know (Feat. Kendrick Lamar),Maroon 5
2960594,가끔 미치도록 네가 안고 싶어질 때가 있어,가을방학
30105101,Oops (Feat. Charlie Puth),Little Mix
30708530,Palace (애플 크리스마스 광고 삽입곡),Sam Smith
5398990,이 소설의 끝을 다시 써보려 해,한동근
7942813,When We Were Young,Adele
4630555,Problem (Feat. Iggy Azalea),Ariana Grande
31085300,Where Were You In The Morning?,Shawn Mendes
30181278,오랜 날 오랜 밤,악동뮤지션
30572632,Meant to Be,"Bebe Rexha, Florida Georgia Line"
30021737,"우리, 여행",소란 (SORAN)
30717645,Snowman,Sia
31126250,Dance To This (Feat. Ariana Grande),Troye Sivan
460396,소주 한 잔,임창정
9636473,The Greatest (Feat. Kendrick Lamar),Sia
4774191,Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj"
30623493,Too Good At Goodbyes,Sam Smith
30380968,Attention,Charlie Puth
5557084,Worth It (Feat. Kid Ink) (DJ 소다 피리춤 송),Fifth Harmony
8111603,HandClap,Fitz & The Tantrums
8117935,"i hate u, i love u (Feat. olivia o`brien) (Album Ver.)",gnash
30608019,What Lovers Do (Feat. SZA),Maroon 5
30102883,City Of Stars (영화 라라랜드 삽입곡 (La La Land OST)),"Ryan Gosling, Emma Stone"
7899235,Hello,Adele
30600607,Look What You Made Me Do,Taylor Swift
4066039,Counting Stars,OneRepublic
31029291,2002,Anne-Marie
3899275,우리가 있던 시간,스웨덴세탁소
30188113,Shape of You,Ed Sheeran
31021816,참 많이 사랑했다,순순희
31139240,Tequila,Dan & Shay
30208026,Galway Girl,Ed Sheeran
1868209,Lucky (Feat. Colbie Caillat),Jason Mraz
30393293,Thunder,Imagine Dragons
7931286,Love Yourself,Justin Bieber
30833415,My My My!,Troye Sivan
31059218,The Way I Am,Charlie Puth
3846771,별사탕 (Feat. 범키),이루펀트
30371561,Despacito (Remix),"Luis Fonsi, Justin Bieber, Daddy Yankee"
30821095,Finesse (Remix) (Feat. Cardi B),Bruno Mars
31092393,Rise (Feat. Jack & Jack),Jonas Blue
8037844,Marvin Gaye (Feat. Meghan Trainor),Charlie Puth
31062863,열애중,벤
30745314,연애 같은 걸 하니까,소란 (SORAN)
8213915,Treat You Better,Shawn Mendes
8037849,Left Right Left,Charlie Puth
5832034,One Call Away,Charlie Puth
5584279,Love Me Like You Do (영화 `그레이의 50가지 그림자` OST) (From `Fifty Shades Of Grey`),Ellie Goulding
30027702,24K Magic,Bruno Mars
30660850,How Long,Charlie Puth
4534974,Chandelier,Sia
30385594,Closer,J.Fla
7898860,Sorry,Justin Bieber
30533790,Sriracha,Marteen
8037846,We Don`t Talk Anymore (Feat. Selena Gomez),Charlie Puth
5475060,Santa Tell Me,Ariana Grande
8028182,for him.,Troye Sivan
31126722,I`m a Mess,Bebe Rexha
